,title,network,imdb_rating,num_imdb_ratings,rt_critic_rating,rt_audience_rating,genres,tv_rating,release_year,runtime_mins,imdb_url
0,La Casa de Papel,Netflix,8.5,215007,91.0,82.0,"['action', 'crime', 'mystery', 'thriller']",TV-MA,2017.0,70.0,https://www.imdb.com/title/tt6468322/
1,Ozark,Netflix,8.4,136710,81.0,91.0,"['crime', 'drama', 'thriller']",TV-MA,2017.0,60.0,https://www.imdb.com/title/tt5071412/
2,Tiger King,Netflix,7.8,33700,86.0,86.0,"['documentary', 'crime']",TV-MA,2020.0,31.0,https://www.imdb.com/title/tt11823076/
3,Westworld,HBO,8.7,388252,85.0,80.0,"['drama', 'mystery', 'sci-fi', 'western']",TV-MA,2016.0,62.0,https://www.imdb.com/title/tt0475784/
4,The Walking Dead,AMC,8.2,821809,81.0,78.0,"['drama', 'horror', 'thriller']",TV-MA,2010.0,44.0,https://www.imdb.com/title/tt1520211/
5,Community,NBC,8.5,185048,88.0,88.0,['comedy'],TV-14,2009.0,22.0,https://www.imdb.com/title/tt1439629/
6,Better Call Saul,AMC,8.7,280536,97.0,96.0,"['crime', 'drama']",TV-MA,2015.0,46.0,https://www.imdb.com/title/tt3032476/
7,Unorthodox,Netflix,8.2,15568,93.0,94.0,['drama'],TV-MA,2020.0,21.0,https://www.imdb.com/title/tt9815454/
8,Game of Thrones,HBO,9.3,1658978,89.0,86.0,"['action', 'adventure', 'drama', 'fantasy', 'romance']",TV-MA,2011.0,57.0,https://www.imdb.com/title/tt0944947/
9,Tales from the Loop,Amazon,7.5,3362,82.0,79.0,"['drama', 'sci-fi']",TV-MA,2020.0,50.0,https://www.imdb.com/title/tt8741290/
10,Breaking Bad,AMC,9.5,1332330,96.0,98.0,"['crime', 'drama', 'thriller']",TV-MA,2008.0,49.0,https://www.imdb.com/title/tt0903747/
11,Grey's Anatomy,ABC,7.6,231121,83.0,80.0,"['drama', 'romance']",TV-14,2005.0,41.0,https://www.imdb.com/title/tt0413573/
12,Homeland,Showtime,8.3,293795,85.0,86.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2011.0,55.0,https://www.imdb.com/title/tt1796960/
13,The Office,NBC,8.9,348547,81.0,92.0,['comedy'],TV-14,2005.0,22.0,https://www.imdb.com/title/tt0386676/
14,Schitt's Creek,POP,8.3,30569,92.0,96.0,['comedy'],TV-14,2015.0,22.0,https://www.imdb.com/title/tt3526078/
15,Peaky Blinders,Netflix,8.8,276218,92.0,94.0,"['crime', 'drama']",TV-MA,2013.0,60.0,https://www.imdb.com/title/tt2442560/
16,Modern Family,ABC,8.4,325823,85.0,87.0,"['comedy', 'drama', 'romance']",TV-PG,2009.0,22.0,https://www.imdb.com/title/tt1442437/
17,Outlander,Starz,8.4,108101,92.0,90.0,"['drama', 'fantasy', 'romance']",TV-MA,2014.0,64.0,https://www.imdb.com/title/tt3006802/
18,The Mandalorian,Disney+,8.7,153512,93.0,93.0,"['action', 'adventure', 'sci-fi']",TV-PG,2019.0,30.0,https://www.imdb.com/title/tt8111088/
19,Vikings,History,8.6,383867,93.0,89.0,"['action', 'adventure', 'drama', 'history', 'romance', 'war']",TV-MA,2013.0,44.0,https://www.imdb.com/title/tt2306299/
20,Little Fires Everywhere,Hulu,7.6,2400,78.0,65.0,['drama'],TV-MA,2020.0,53.0,https://www.imdb.com/title/tt8089592/
21,Homecoming,Amazon Prime Video,7.5,15757,98.0,71.0,"['drama', 'thriller']",TV-MA,2018.0,30.0,https://www.imdb.com/title/tt7008682/
22,Brooklyn Nine-Nine,FOX; NBC,8.4,186718,97.0,93.0,"['comedy', 'crime']",TV-14,2013.0,22.0,https://www.imdb.com/title/tt2467372/
23,Supernatural,CW,8.4,371347,93.0,86.0,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']",TV-14,2005.0,44.0,https://www.imdb.com/title/tt0460681/
24,All American,CW,7.6,4369,96.0,,"['drama', 'sport']",TV-14,2018.0,45.0,https://www.imdb.com/title/tt7414406/
25,Stranger Things,Netflix,8.8,725728,93.0,91.0,"['drama', 'fantasy', 'horror', 'mystery', 'sci-fi', 'thriller']",TV-14,2016.0,51.0,https://www.imdb.com/title/tt4574334/
26,The Blacklist,NBC,8.0,177735,91.0,89.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2013.0,43.0,https://www.imdb.com/title/tt2741602/
27,Killing Eve,BBC America/AMC,8.3,65731,92.0,88.0,"['action', 'adventure', 'drama', 'thriller']",TV-14,2018.0,42.0,https://www.imdb.com/title/tt7016936/
28,Friends,NBC,8.9,750880,78.0,94.0,"['comedy', 'romance']",TV-14,1994.0,22.0,https://www.imdb.com/title/tt0108778/
